Site_Name,Elev,Lat,Lon,installed,County,Water Year,Jan,Jan (WE),Feb,Feb (WE),Mar,Mar (WE),Apr,Apr (WE),May,May (WE),Jun,Jun (WE)
Agua Canyon,8900,37.52,-112.27,1995,Kane,1995,15.373110388668772,4.7,34.34418278319619,10.5,40.88593188475737,12.5,50.69855553709914,15.5,18.97107239452742,5.8,0.0,0.0
Agua Canyon,8900,37.52,-112.27,1995,Kane,1996,2.9437870957025307,0.9,9.15844874218565,2.8,17.008547664059066,5.2,7.850098921873415,2.4,0.0,0.0,0.0,0.0
Agua Canyon,8900,37.52,-112.27,1995,Kane,1997,11.120973472654004,3.4,23.877384220698303,7.3,27.802433681635012,8.5,6.541749101561179,2.0,0.0,0.0,0.0,0.0
Agua Canyon,8900,37.52,-112.27,1995,Kane,1998,7.850098921873415,2.4,13.737673113278477,4.2,27.148258771478897,8.3,31.073308232415602,9.5,13.083498203122359,4.0,0.0,0.0
Agua Canyon,8900,37.52,-112.27,1995,Kane,1999,12.0,3.4,14.0,4.4,15.0,5.2,2.0,0.0,0.0,0.0,0.0,0.0
Agua Canyon,8900,37.52,-112.27,1995,Kane,2000,1.0,0.1,1.0,0.4,20.0,4.8,17.0,6.2,0.0,0.0,0.0,0.0
Agua Canyon,8900,37.52,-112.27,1995,Kane,2001,12.0,2.4,32.0,6.7,41.0,10.7,22.0,9.0,0.0,0.0,0.0,0.0
Agua Canyon,8900,37.52,-112.27,1995,Kane,2002,11.0,1.8,14.0,2.4,9.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0
Agua Canyon,8900,37.52,-112.27,1995,Kane,2003,9.0,1.4,5.0,1.7,26.0,4.6,8.0,2.5,0.0,0.0,0.0,0.0
Agua Canyon,8900,37.52,-112.27,1995,Kane,2004,20.0,4.3,23.0,5.3,50.0,10.9,8.0,2.2,0.0,0.0,0.0,0.0
Agua Canyon,8900,37.52,-112.27,1995,Kane,2005,35.0,7.4,57.0,15.9,64.0,19.9,65.0,22.4,30.0,12.8,0.0,0.0
Agua Canyon,8900,37.52,-112.27,1995,Kane,2006,7.0,1.4,16.0,3.5,15.0,4.8,28.0,8.8,0.0,0.0,0.0,0.0
Agua Canyon,8900,37.52,-112.27,1995,Kane,2007,12.0,2.7,17.0,3.8,24.0,5.4,0.0,0.0,0.0,0.0,0.0,0.0
Agua Canyon,8900,37.52,-112.27,1995,Kane,2008,18.0,3.8,45.0,10.6,43.0,13.3,27.0,10.2,0.0,0.0,0.0,0.0
Agua Canyon,8900,37.52,-112.27,1995,Kane,2009,27.0,7.2,22.0,7.2,27.0,9.1,0.0,0.0,0.0,0.0,0.0,0.0
Agua Canyon,8900,37.52,-112.27,1995,Kane,2010,21.0,4.6,45.0,10.7,43.0,12.5,39.0,13.8,1.0,0.2,0.0,0.0
Agua Canyon,8900,37.52,-112.27,1995,Kane,2011,40.0,9.5,31.0,9.5,55.0,13.9,38.0,14.3,1.0,0.1,0.0,0.0
Agua Canyon,8900,37.52,-112.27,1995,Kane,2012,13.0,2.9,19.0,4.2,27.0,6.1,0.0,0.0,0.0,0.0,0.0,0.0
Agua Canyon,8900,37.52,-112.27,1995,Kane,2013,17.0,3.9,21.0,5.6,23.0,6.1,4.0,1.5,0.0,0.0,0.0,0.0
Agua Canyon,8900,37.52,-112.27,1995,Kane,2014,19.0,4.7,26.0,5.1,13.0,4.2,0.0,0.0,0.0,0.0,0.0,0.0
Agua Canyon,8900,37.52,-112.27,1995,Kane,2015,20.0,2.1,19.0,4.5,29.0,6.4,5.0,1.8,0.0,0.0,0.0,0.0
Agua Canyon,8900,37.52,-112.27,1995,Kane,2016,14.0,3.2,34.0,7.1,15.0,5.5,3.0,0.9,1.0,0.2,0.0,0.0
Agua Canyon,8900,37.52,-112.27,1995,Kane,2017,17.0,4.0,37.0,9.7,35.0,11.6,8.0,2.2,0.0,0.0,0.0,0.0
Agua Canyon,8900,37.52,-112.27,1995,Kane,2018,0.0,0.0,5.0,1.3,8.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0
Agua Canyon,8900,37.52,-112.27,1995,Kane,2019,13.0,2.3,21.0,5.1,43.0,12.1,38.0,14.9,1.0,0.5,0.0,0.0
Agua Canyon,8900,37.52,-112.27,1995,Kane,2020,26.0,6.6,14.0,6.3,20.0,7.0,28.0,8.5,0.0,0.0,0.0,0.0
Agua Canyon,8900,37.52,-112.27,1995,Kane,2021,6.0,0.8,15.0,3.2,15.0,4.0,10.0,4.1,0.0,0.0,0.0,0.0
Agua Canyon,8900,37.52,-112.27,1995,Kane,2022,27.0,5.8,20.0,5.5,24.0,6.7,10.0,3.6,0.0,0.0,0.0,0.0
Agua Canyon,8900,37.52,-112.27,1995,Kane,2023,17.0,4.5,34.0,9.9,49.0,14.1,62.0,21.4,11.0,5.2,0.0,0.0
Bear River RS,8777,40.89,-110.83,2011,Summit,2011,38.0,8.0,43.0,9.8,49.0,13.1,45.0,16.5,41.0,17.2,3.0,0.7
Bear River RS,8777,40.89,-110.83,2011,Summit,2012,14.0,2.4,20.0,3.9,33.0,6.1,2.0,1.0,0.0,0.0,0.0,0.0
Bear River RS,8777,40.89,-110.83,2011,Summit,2013,20.0,4.1,24.0,5.1,29.0,6.4,17.0,6.8,2.0,1.0,0.0,0.0
Bear River RS,8777,40.89,-110.83,2011,Summit,2014,16.0,2.8,28.0,4.7,34.0,7.7,28.0,10.3,0.0,0.0,0.0,0.0
Bear River RS,8777,40.89,-110.83,2011,Summit,2015,18.0,3.1,19.0,4.1,22.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0
Bear River RS,8777,40.89,-110.83,2011,Summit,2016,23.0,4.2,34.0,6.8,28.0,8.1,23.0,9.3,4.0,1.1,0.0,0.0
Bear River RS,8777,40.89,-110.83,2011,Summit,2017,21.0,4.5,36.0,9.8,45.0,12.5,26.0,9.8,3.0,1.7,0.0,0.0
Bear River RS,8777,40.89,-110.83,2011,Summit,2018,16.0,3.4,23.0,5.4,28.0,6.9,18.0,7.0,0.0,0.0,0.0,0.0
Bear River RS,8777,40.89,-110.83,2011,Summit,2019,19.0,3.2,26.0,5.5,32.0,8.4,35.0,12.0,11.0,3.6,0.0,0.0
Bear River RS,8777,40.89,-110.83,2011,Summit,2020,19.0,4.0,27.0,6.3,29.0,7.6,30.0,10.5,0.0,0.0,0.0,0.0
Bear River RS,8777,40.89,-110.83,2011,Summit,2021,14.0,3.1,17.0,3.8,29.0,6.3,25.0,8.9,0.0,0.0,0.0,0.0
Bear River RS,8777,40.89,-110.83,2011,Summit,2022,26.0,4.9,23.0,6.2,26.0,7.0,19.0,7.3,0.0,0.0,0.0,0.0
Bear River RS,8777,40.89,-110.83,2011,Summit,2023,30.0,6.1,35.0,8.1,42.0,10.2,49.0,14.3,24.0,8.1,0.0,0.0
Beaver Dams,7990,39.14,-111.56,1980,Sanpete,1981,5.560486736327002,1.7,10.139711107419828,3.1,13.410585658200416,4.1,11.120973472654004,3.4,0.0,0.0,0.0,0.0
Beaver Dams,7990,39.14,-111.56,1980,Sanpete,1982,17.008547664059066,5.2,29.11078350194725,8.9,38.269232244132894,11.7,48.40894335155273,14.8,17.662722574215184,5.4,0.0,0.0
Beaver Dams,7990,39.14,-111.56,1980,Sanpete,1983,18.97107239452742,5.8,35.979620058586484,11.0,48.73603080663079,14.9,70.65089029686074,21.6,71.95924011717297,22.0,0.0,0.0
Beaver Dams,7990,39.14,-111.56,1980,Sanpete,1984,43.8297189804599,13.4,44.48389389061602,13.6,55.604867363270024,17.0,72.28632757225104,22.1,78.82807667381222,24.1,0.0,0.0
Beaver Dams,7990,39.14,-111.56,1980,Sanpete,1985,27.475346226556955,8.4,34.01709532811813,10.4,38.923407154289016,11.9,34.01709532811813,10.4,0.0,0.0,0.0,0.0
Beaver Dams,7990,39.14,-111.56,1980,Sanpete,1986,20.279422214839656,6.2,21.91485949022995,6.7,31.40039568749366,9.6,25.5128214960886,7.8,0.0,0.0,0.0,0.0
Beaver Dams,7990,39.14,-111.56,1980,Sanpete,1987,2.2896121855464124,0.7,7.850098921873415,2.4,21.260684580073832,6.5,39.57758206444513,12.1,0.0,0.0,0.0,0.0
Beaver Dams,7990,39.14,-111.56,1980,Sanpete,1988,13.737673113278477,4.2,26.821171316400832,8.2,26.166996406244717,8.0,36.960882423820664,11.3,0.0,0.0,0.0,0.0
Beaver Dams,7990,39.14,-111.56,1980,Sanpete,1989,14.064760568356535,4.3,20.279422214839656,6.2,25.83990895116666,7.9,13.737673113278477,4.2,0.0,0.0,0.0,0.0
Beaver Dams,7990,39.14,-111.56,1980,Sanpete,1990,7.523011466795356,2.3,10.793886017575945,3.3,21.91485949022995,6.7,23.550296765620246,7.2,0.0,0.0,0.0,0.0
Beaver Dams,7990,39.14,-111.56,1980,Sanpete,1991,10.466798562497887,3.2,15.70019784374683,4.8,21.58777203515189,6.6,33.36292041796201,10.2,22.56903440038607,6.9,0.9812623652341769,0.3
Beaver Dams,7990,39.14,-111.56,1980,Sanpete,1992,7.850098921873415,2.4,12.102235837888182,3.7,18.97107239452742,5.8,17.989810029293242,5.5,0.0,0.0,0.0,0.0
Beaver Dams,7990,39.14,-111.56,1980,Sanpete,1993,14.718935478512654,4.5,28.12952113671307,8.6,38.269232244132894,11.7,41.86719424999155,12.8,3.2708745507805896,1.0,0.0,0.0
Beaver Dams,7990,39.14,-111.56,1980,Sanpete,1994,13.410585658200416,4.1,20.279422214839656,6.2,27.475346226556955,8.4,13.083498203122359,4.0,0.0,0.0,0.0,0.0
Beaver Dams,7990,39.14,-111.56,1980,Sanpete,1995,11.448060927732064,3.5,17.989810029293242,5.5,17.335635119137123,5.3,14.718935478512654,4.5,0.0,0.0,0.0,0.0
Beaver Dams,7990,39.14,-111.56,1980,Sanpete,1996,11.775148382810123,3.6,25.5128214960886,7.8,34.671270238274246,10.6,32.381658052727836,9.9,0.0,0.0,0.0,0.0
Beaver Dams,7990,39.14,-111.56,1980,Sanpete,1997,15.70019784374683,4.8,31.073308232415602,9.5,40.231756974601254,12.3,21.91485949022995,6.7,0.0,0.0,0.0,0.0
Beaver Dams,7990,39.14,-111.56,1980,Sanpete,1998,7.850098921873415,2.4,17.008547664059066,5.2,30.092045867181422,9.2,29.764958412103365,9.1,12.42932329296624,3.8,0.0,0.0
Beaver Dams,7990,39.14,-111.56,1980,Sanpete,1999,6.541749101561179,2.0,13.410585658200416,4.1,18.97107239452742,5.8,4.906311826170884,1.5,0.0,0.0,0.0,0.0
Beaver Dams,7990,39.14,-111.56,1980,Sanpete,2000,4.906311826170884,1.5,12.102235837888182,3.7,26.821171316400832,8.2,24.531559130854422,7.5,0.0,0.0,0.0,0.0
Beaver Dams,7990,39.14,-111.56,1980,Sanpete,2001,7.195924011717298,2.2,13.083498203122359,4.0,20.933597124995774,6.4,9.812623652341768,3.0,0.0,0.0,0.0,0.0
Beaver Dams,7990,39.14,-111.56,1980,Sanpete,2002,15.046022933590711,4.6,15.70019784374683,4.8,21.260684580073832,6.5,19.625247304683537,6.0,0.0,0.0,0.0,0.0
Beaver Dams,7990,39.14,-111.56,1980,Sanpete,2003,16.354372753902947,5.0,13.410585658200416,4.1,21.58777203515189,6.6,24.531559130854422,7.5,0.0,0.0,0.0,0.0
Beaver Dams,7990,39.14,-111.56,1980,Sanpete,2004,14.064760568356535,4.3,17.989810029293242,5.5,30.419133322259487,9.3,0.9812623652341769,0.3,0.0,0.0,0.0,0.0
Beaver Dams,7990,39.14,-111.56,1980,Sanpete,2005,18.0,3.4,24.0,5.7,26.0,6.7,27.0,7.9,0.0,0.0,0.0,0.0
Beaver Dams,7990,39.14,-111.56,1980,Sanpete,2006,18.0,4.4,36.0,8.4,30.0,9.4,36.0,12.2,7.0,1.9,0.0,0.0
Beaver Dams,7990,39.14,-111.56,1980,Sanpete,2007,16.0,2.9,23.0,3.9,27.0,6.2,2.0,0.4,0.0,0.0,0.0,0.0
Beaver Dams,7990,39.14,-111.56,1980,Sanpete,2008,24.0,5.3,35.0,8.2,38.0,11.9,31.0,10.7,5.0,0.5,0.0,0.0
Beaver Dams,7990,39.14,-111.56,1980,Sanpete,2009,14.0,3.0,19.0,5.2,17.0,6.2,17.0,5.4,0.0,0.0,0.0,0.0
Beaver Dams,7990,39.14,-111.56,1980,Sanpete,2010,30.0,5.6,23.0,6.2,35.0,8.5,31.0,9.5,5.0,0.6,0.0,0.0
Beaver Dams,7990,39.14,-111.56,1980,Sanpete,2011,49.0,10.0,33.0,9.9,39.0,11.8,36.0,13.0,19.0,5.7,0.0,0.0
Beaver Dams,7990,39.14,-111.56,1980,Sanpete,2012,11.0,2.8,21.0,4.7,32.0,7.4,8.0,1.8,0.0,0.0,0.0,0.0
Beaver Dams,7990,39.14,-111.56,1980,Sanpete,2013,24.0,4.4,24.0,6.6,30.0,8.9,10.0,4.0,0.0,0.0,0.0,0.0
Beaver Dams,7990,39.14,-111.56,1980,Sanpete,2014,11.0,2.9,19.0,4.5,23.0,6.9,15.0,8.0,0.0,0.0,0.0,0.0
Beaver Dams,7990,39.14,-111.56,1980,Sanpete,2015,28.0,6.2,23.0,7.1,17.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0
Beaver Dams,7990,39.14,-111.56,1980,Sanpete,2016,33.0,7.7,38.0,10.0,27.0,9.7,19.0,9.2,3.0,0.5,0.0,0.0
Beaver Dams,7990,39.14,-111.56,1980,Sanpete,2017,22.0,5.5,34.0,10.0,32.0,9.2,17.0,4.8,0.0,0.0,0.0,0.0
Beaver Dams,7990,39.14,-111.56,1980,Sanpete,2018,6.0,1.2,13.0,3.5,23.0,5.7,13.0,4.9,0.0,0.0,0.0,0.0
Beaver Dams,7990,39.14,-111.56,1980,Sanpete,2019,27.0,4.8,26.0,6.4,35.0,10.6,38.0,15.8,4.0,3.0,0.0,0.0
Beaver Dams,7990,39.14,-111.56,1980,Sanpete,2020,20.0,3.7,29.0,6.3,32.0,7.7,24.0,6.0,0.0,0.0,0.0,0.0
Beaver Dams,7990,39.14,-111.56,1980,Sanpete,2021,14.0,3.3,18.0,4.4,33.0,8.3,24.0,8.4,1.0,0.3,0.0,0.0
